start season,Sector,Square,Burrow Code,Type CODE,Unique Code,Latitude (N),Longitude (E),occ/sp2011,S/sp2011,occ/su2011,S/su2011,occ/au2011,S/au2011,occ/sp2012,S/sp2012,occ/su2012,S/su2012,occ/au2012,S/au2012,occ/sp2013,Alt(m),tree,bsland_OK,bscode_corrected,bscode_simple,bsland1_OK,bscode1_OK,Bscharact_all,Remark
sp2011,9123,RS1,17,B,9123sq1B17,45.5181076471,75.2988384571,4,89.5353906273,4,245.04422698,4,408.4070449667,4,587.4778262213,4,282.7433388231,4,345.5751918949,3,352,0,sand/dune,12HS,7sand,DEF,18,18DEF,Orient.- 110°; sand - Meriones
sp2011,9123,RS1,19,B,9123sq1B19,45.5186766945,75.2988236211,4,201.0619298298,4,223.8384765683,4,523.8605749861,4,660.5198554173,4,346.3605900583,4,314.159265359,4,354,0,sand/dune,12HS,7sand,DEF,18,18DEF,Orient.- 110°
sp2011,9123,RS1,24,B,9123sq1B24,45.5191533733,75.2995163854,4,343.2189974047,4,314.159265359,4,578.0530482606,4,283.5287369865,4,226.9800692219,4,201.0619298298,4,355,1,sand/dune,12HS,7sand,DEF,18,18DEF,Meriones
au2011,10512,RS2,43,B,10512sq2B43,45.278386,76.183338,3,no data,no data,no data,4,219.9114857513,4,656.5928646003,4,942.477796077,3,259.1813939212,2,370,1,sand/dune,12HS,7sand,E,18,18E,sand;named bs 43
sp2011,10512,RS2,9,B,10512sq2B9,45.2779198531,76.1833146494,4,380.1327110844,2,254.4690049408,2,380.1327110844,0,0,no data,0,0,0,1,370,0,sand/dune,12HS,7sand,E,18,18E,dissapeared ; sandy ; meriones
sp2011,10512,RS6,18,B,10512sq6B18,45.3067432903,76.1575816199,4,962.1127501619,3,339.2920065877,4,785.3981633975,3,360.4977569995,2,226.9800692219,4,193.9933463592,2,371,1,sand/dune,12HS,7sand,E,18,18E,"a long sand ridge - sand dune, Meriones"
sp2011,10512,RS6,10,B,10512sq6B10,45.30766882,76.1584021244,3,314.159265359,3,283.5287369865,4,346.3605900583,2,201.0619298298,1,63.6172512352,3,78.5398163398,2,374,1,sand/dune,12HS,7sand,E,18,18E,Sand dune; Meriones
sp2011,10512,RS6,31,B,10512sq6B31,45.3078410681,76.1589139234,2,226.9800692219,no data,146.8694565553,2,94.2477796077,0,0,0,0,0,0,1,375,0,sand/dune,12HS,7sand,E,18,18E, Disappeared; Meriones
sp2011,7934,RS6,8,B,7934sq6B8,45.7044861373,75.1420098636,4,179.0707812546,3,164.1482161501,4,176.7145867644,2,95.0331777711,3,153.9380400259,4,201.0619298298,4,355,0,sand/dune,12HS,7sand,E,18,18E,Meriones
sp2011,7934,RS15,13,B,7934sq15B13,45.7098094001,75.1839880273,3,346.3605900583,1,95.0331777711,4,176.7145867644,2,81.6814089933,2,63.6172512352,3,113.0973355292,2,350,1,sand/dune,12HS,7sand,E,18,18E,changed from bs 4 to bs 13;Entrances (holes) of a burrow system disappeared; Meriones
sp2011,7934,RS15,28,B,7934sq15B28,45.7098118309,75.1819242351,3,132.7322896142,3,95.0331777711,no data,no data,4,530.9291584567,4,254.4690049408,no data,no data,2,354,1,sand/dune,12HS,7sand,E,18,18E,sand
sp2011,7934,RS5,14,B,7934sq5B14,45.702293599,75.1378784236,4,208.9159114637,2,142.9424657383,3,201.0619298298,2,163.3628179867,no data,no data,3,176.7145867644,2,349,1,sand/dune,12HS,7sand,EF,18,18EF,Sand 
su2011,7934,RS5,21,B,7934sq5B21,45.70246,75.13891,no data,no data,4,223.8384765683,4,296.8805057643,3,530.9291584567,4,283.5287369865,4,283.5287369865,4,349,1,sand/dune,12HS,7sand,EF,18,18EF,Orient.- 310°; sand - change from ? To bs 21; Meriones
